"KLUNGKUNG","Freq"
"À la carte food",1
"Advertising",1
"Agave",1
"Agriculture",1
"Air travel",1
"Airline",1
"Airliner",1
"Airplane",1
"Alcohol",1
"Aloe",1
"Amber",1
"Anthropology",1
"Aquanaut",1
"Aquatic plant",1
"Arch",1
"Arm",1
"Atlas",1
"Auto part",1
"Automotive tire",1
"Automotive wheel system",1
"Aviation",1
"Backlighting",1
"Backyard",1
"Banana",1
"Banana family",1
"Banana leaf",1
"Banknote",1
"Barbary fig",1
"Bathing",1
"Bayou",1
"Beam",1
"Bed",1
"Beer",1
"Beer bottle",1
"Beetroot",1
"Bicycle",1
"Bicycle wheel",1
"Black-and-white",1
"Black cat",1
"Boardwalk",1
"Borassus flabellifer",1
"Branch",1
"Brunch",1
"Cactus",1
"Candle",1
"Cap",1
"Car",1
"Cartilaginous fish",1
"Cash",1
"Cat",1
"Cave",1
"Caving",1
"Cetacea",1
"Chair",1
"Chest",1
"Child model",1
"Chinese architecture",1
"Circle",1
"Close-up",1
"Clothing",1
"Comfort",1
"Currency",1
"Curtain",1
"Dairy",1
"Daylighting",1
"Daytime",1
"Desert Palm",1
"Design",1
"Dirt road",1
"Dive computer",1
"Diving mask",1
"Dock",1
"Dolphin",1
"Dress shirt",1
"Drinking",1
"Eagleray",1
"Ear",1
"Earth",1
"Eastern prickly pear",1
"Eco hotel",1
"Electronic device",1
"Fast food",1
"Fawn",1
"Felidae",1
"Ferry",1
"Fictional character",1
"Field",1
"Fin",1
"Fireboat",1
"Fishing",1
"Fixed link",1
"Fjord",1
"Flight",1
"Flooring",1
"Flowering plant",1
"Foot",1
"Footprint",1
"Forest",1
"Fountain",1
"Friendship",1
"Games",1
"Garnish",1
"Gesture",1
"Goggles",1
"Hair coloring",1
"Hamburger",1
"Hardwood",1
"Hat",1
"Hawker",1
"Hawksbill sea turtle",1
"Herb",1
"Hindu temple",1
"Honeymoon",1
"Igneous rock",1
"Inflatable",1
"Inlet",1
"Japanese architecture",1
"Junk food",1
"Kemp's ridley sea turtle",1
"Kitesurfing",1
"Lagoon",1
"Landscaping",1
"Lava tube",1
"Leisure centre",1
"Lighting",1
"Linens",1
"Liqueur",1
"Loch",1
"Loggerhead sea turtle",1
"Lunch",1
"Mansion",1
"Manta ray",1
"Map",1
"Marine mammal",1
"Mask",1
"Mattress",1
"Measuring instrument",1
"Money",1
"Monochrome",1
"Monochrome photography",1
"Monument",1
"Motor vehicle",1
"Motorcycle",1
"Motorcycling",1
"National park",1
"Neighbourhood",1
"Nopal",1
"Olive ridley sea turtle",1
"Outerwear",1
"Pagoda",1
"Painting",1
"Paper",1
"Passion flower",1
"Patio",1
"Paurotis Palm",1
"People",1
"Picnic",1
"Pillow",1
"Pilot boat",1
"Pink",1
"Pit cave",1
"Pitaya",1
"Plaid",1
"Plain",1
"prickly pear",1
"Prickly pear",1
"Product",1
"Purple",1
"Rays and skates",1
"Recreational fishing",1
"Red flag",1
"Relief",1
"Reservoir",1
"Rice",1
"Riparian forest",1
"Rope bridge",1
"Rural area",1
"Sabal palmetto",1
"Saguaro",1
"Sailing",1
"Salad",1
"Schipperke",1
"Sea kayak",1
"Sea turtle",1
"Shadow",1
"Shoulder",1
"Shrubland",1
"Sign",1
"Signage",1
"Silhouette",1
"Skiff",1
"Sleeve",1
"Smoothie",1
"Snapshot",1
"Steamed rice",1
"Steppe",1
"Stingray",1
"Stopwatch",1
"Street light",1
"Superfood",1
"Surfer hair",1
"Swimmer",1
"Swimwear",1
"Symmetry",1
"T-shirt",1
"Tail",1
"Tartan",1
"Temporary tattoo",1
"Terrain",1
"Thigh",1
"Thorns, spines, and prickles",1
"Towed water sport",1
"Tradition",1
"Traffic",1
"Trunk",1
"Turtle",1
"Urban design",1
"Vegetable",1
"Veggie burger",1
"Village",1
"Vision care",1
"Visual arts",1
"Wadi",1
"Walkway",1
"Wat",1
"Watch",1
"Water feature",1
"water lily",1
"Watercraft rowing",1
"Watermelon",1
"Wetland",1
"Whale",1
"Wheel",1
"Wildflower",1
"Wind",1
"Wing",1
"Yard",1
"Yellow",1
"Youth",1
"Artifact",2
"Atmosphere",2
"Beard",2
"Bottle",2
"Canidae",2
"Carnivore",2
"Ceiling",2
"Comfort food",2
"Community",2
"Cool",2
"Costume",2
"Crowd",2
"Darkness",2
"Dog",2
"Dog breed",2
"Event",2
"Facial expression",2
"Fishing vessel",2
"Flag",2
"Fried food",2
"Furniture",2
"Grass family",2
"Grassland",2
"Green sea turtle",2
"Hairstyle",2
"Hand",2
"Historic site",2
"Houseplant",2
"Individual sports",2
"Inflatable boat",2
"Jaw",2
"Jungle",2
"Light",2
"Long hair",2
"Meal",2
"Mountainous landforms",2
"Moustache",2
"Mudflat",2
"Nasi liwet",2
"Neck",2
"Off-roading",2
"Open water swimming",2
"Panorama",2
"People on beach",2
"Pier",2
"Place of worship",2
"Play",2
"Pond",2
"Recipe",2
"Restaurant",2
"Scooter",2
"Side dish",2
"Snorkeling",2
"Standing",2
"Staple food",2
"Street",2
"Sun tanning",2
"Suspension bridge",2
"Table",2
"Tattoo",2
"Team",2
"Technology",2
"Terrestrial plant",2
"Thoroughfare",2
"Umbrella",2
"Vegetarian food",2
"Watercourse",2
"Window",2
"World",2
"Wrinkle",2
"Adaptation",3
"Adventure",3
"Atmospheric phenomenon",3
"Barechested",3
"Beauty",3
"Blond",3
"Boats and boating--Equipment and supplies",3
"Carving",3
"Divemaster",3
"Diving equipment",3
"Eyewear",3
"Face",3
"Facial hair",3
"Finger",3
"Floor",3
"Heat",3
"Highland",3
"Hill",3
"Land lot",3
"Leaf",3
"Natural arch",3
"Night",3
"Nonbuilding structure",3
"Nose",3
"Orange",3
"Outdoor recreation",3
"Pattern",3
"Photograph",3
"Plant community",3
"Red sky at morning",3
"Sculpture",3
"Shorts",3
"Skin",3
"Stone carving",3
"Sunglasses",3
"Swimming",3
"Tide pool",3
"Town",3
"Trail",3
"Underwater diving",3
"Wildlife",3
"Art",4
"Bedrock",4
"Bodyboarding",4
"Bridge",4
"Chin",4
"Fashion accessory",4
"Flower",4
"Glasses",4
"Happy",4
"Head",4
"Hill station",4
"Home",4
"Interior design",4
"Klippe",4
"Leg",4
"Nature reserve",4
"Real estate",4
"Road",4
"Scuba diving",4
"Sound",4
"Speedboat",4
"Statue",4
"Sun",4
"Sunlight",4
"Transport",4
"Waterway",4
"Wetsuit",4
"Woody plant",4
"Arecales",5
"Child",5
"Cove",5
"Drink",5
"Forehead",5
"Grass",5
"Hair",5
"Headgear",5
"Lake",5
"Marine invertebrates",5
"Muscle",5
"Textile",5
"Botany",6
"Lifejacket",6
"Mode of transport",6
"Mountain",6
"Reflection",6
"Resort",6
"River",6
"Smile",6
"Temple",6
"Wilderness",6
"Wood",6
"Architecture",7
"Azure",7
"Caribbean",7
"Geological phenomenon",7
"Geology",7
"Human",7
"Ingredient",7
"Produce",7
"Room",7
"Swimming pool",7
"Tide",7
"Turquoise",7
"Cape",8
"Cuisine",8
"Dish",8
"Food",8
"Personal protective equipment",8
"Afterglow",9
"Building",9
"Dusk",9
"House",9
"Landscape",9
"Palm tree",9
"Soil",9
"Sports",9
"Travel",9
"Property",10
"Bight",11
"Tropics",11
"Vegetation",11
"Coral reef fish",12
"Fish",12
"Invertebrate",13
"Morning",13
"Photography",13
"Wakesurfing",14
"Calm",15
"Formation",15
"Watercraft",15
"Blue",16
"Cliff",16
"Evening",16
"Plant",16
"Stony coral",16
"Bay",17
"Promontory",18
"Sand",18
"Boating",20
"Sunrise",21
"Summer",22
"Boat",23
"Water resources",23
"Water transportation",24
"Coral",25
"Coral reef",25
"Headland",25
"Reef",26
"Skimboarding",26
"Organism",28
"Marine biology",29
"Sunset",29
"Underwater",29
"Leisure",31
"Natural environment",33
"Nature",36
"Tree",39
"Recreation",40
"Rock",41
"Water sport",41
"Fun",42
"Vehicle",43
"Natural landscape",44
"Surfboard",45
"Boardsport",46
"Surfing Equipment",48
"Tourism",48
"Surfing",49
"Surface water sports",50
"Cloud",53
"Horizon",64
"Wind wave",66
"Body of water",74
"Coastal and oceanic landforms",77
"Beach",78
"Vacation",82
"Wave",87
"Shore",92
"Water",113
"Coast",125
"Sky",135
"Ocean",148
"Sea",193
